program_name,cpu-cycles,instructions,cache-misses,cache-references
program_1_gogh,20000,5000,20,200
program_1_gogh,5000,2000,2,50
program_1_gogh,2000,500,0,0
program_1_gogh,100000,5000,1,20
program_1_gogh,100000,30000,5,200
program_1_gogh,120,60,2,10
program_1_gogh,0,0,3700,7
program_1_gogh,4500,500,2,25
program_1_gogh,12000,5500,30,350
program_1_gogh,1500,500,5,400
program_1_gogh,9000,8000,5,100
program_1_gogh,600000,8000,20,400
program_1_gogh,25000,12000,0,0
program_1_gogh,3000,200,3,30
program_1_gogh,50,30,1,10
program_1_gogh,5000,8000,1,50
program_1_gogh,17000,2100,3,15
program_1_gogh,250,90,2,5
program_1_gogh,300,350,0,0
program_1_gogh,200,100,1,4
program_1_gogh,400,200,1,5
program_1_gogh,1200,210,2,12
program_1_gogh,1200,900,0,15
program_1_gogh,20000,11000,5,300
program_1_gogh,30000,1500,1,5
program_1_gogh,4000,2000,2,32
program_1_gogh,500,400,2,10
program_1_gogh,300,150,0,0
program_1_gogh,50000,25000,80,200
program_1_gogh,12000,6500,30,200
program_1_gogh,50000,5000,5,200
program_1_gogh,65000,3000,0,10
program_1_gogh,2000,350,0,12
program_1_gogh,5000,1200,3,15
program_1_gogh,15000,10000,5,50
program_1_gogh,20000,8000,200,5000
program_1_gogh,13000,8500,120,2100
program_1_gogh,50000,30000,20,400
program_1_gogh,0,0,0,0
program_1_gogh,2000,500,10,100
program_1_gogh,5000,4000,10,50
program_1_gogh,200,100,0,3
program_1_gogh,2000,800,5,70
program_1_gogh,120,250,1,5
program_1_gogh,4000,3000,4,50
program_1_gogh,1200,260,1,5
program_1_gogh,4000,4300,2,15
program_1_gogh,40000,2000,10,1000
program_1_gogh,5200,2000,0,1
program_1_gogh,4000,2000,3,15
program_1_gogh,3000,1500,50,500
program_1_gogh,1224,480,6,70
program_1_gogh,5000,600,2,10
program_1_gogh,40000,60000,80,800
program_1_gogh,600,300,0,7
program_1_gogh,3000,2000,5,300
program_1_gogh,5000,2000,10,50
program_1_gogh,2000,4000,1,2
program_1_gogh,5000,2000,10,400
program_1_gogh,50000,400,4,30
program_1_gogh,500,300,50,200
program_1_gogh,1500,1500,5,80
program_1_gogh,16000,3500,2,60
program_1_gogh,5000,2000,2,50
program_1_gogh,150000,40000,1,50
program_1_gogh,2100,650,3,12
program_1_gogh,4500,7500,350,1400
program_1_gogh,5000,2000,10,100
program_1_gogh,4000,400,1,20
program_1_gogh,20000,2000,0,0
program_1_gogh,1234,4321,3,55
program_1_gogh,200000,30000,80,2000
program_1_gogh,5000,3000,2,10
program_1_gogh,2000000,2500000,50000,150000
program_1_gogh,1200,400,2,30
program_1_gogh,400000,20000,200,1000
program_1_gogh,800,400,2,20
program_1_gogh,4500,1100,4,30
program_1_gogh,50000,2000,5,200
program_1_gogh,200,100,2,50
program_1_gogh,2200,730,1,32
program_1_gogh,350,280,0,5
program_1_gogh,2100000,2000000,3000,50000
