program_name,cpu-cycles,instructions,cache-misses,cache-references
program_8_gogh,12012,1000,10,200
program_8_gogh,6000,650,3,10
program_8_gogh,4100,2300,2,6
program_8_gogh,0,0,0,0
program_8_gogh,11500,3400,0,3
program_8_gogh,14000,900,20,100
program_8_gogh,650,400,5,50
program_8_gogh,20000,1500,10,1500
program_8_gogh,1523,2689,6,15
program_8_gogh,2500,250,3,12
program_8_gogh,1500,1200,2,32
program_8_gogh,2216,2198,0,20
program_8_gogh,2000,1500,0,300
program_8_gogh,20000,15500,750,7000
program_8_gogh,350,700,3,20
program_8_gogh,35000,250,1,5
program_8_gogh,1200,360,1,12
program_8_gogh,0,0,0,0
program_8_gogh,4000,300,3,10
program_8_gogh,400,250,2,15
program_8_gogh,20000,4000,2,10
program_8_gogh,25000,1200,2,30
program_8_gogh,120000,25000,50,800
program_8_gogh,1200,300,0,5
program_8_gogh,2000,1500,10,500
program_8_gogh,2000,400,2,50
program_8_gogh,4000,2000,4,40
program_8_gogh,2050,230,0,10
program_8_gogh,500,1000,2,10
program_8_gogh,1200,250,2,60
program_8_gogh,500,200,0,3
program_8_gogh,15000,5000,5,50
program_8_gogh,4000,1500,2,20
program_8_gogh,1542,1250,0,2
program_8_gogh,1500,400,0,10
program_8_gogh,4000,50,0,0
program_8_gogh,5200,3100,3,180
program_8_gogh,300,120,1,20
program_8_gogh,210,180,0,15
program_8_gogh,1000,1200,10,80
program_8_gogh,400,300,2,50
program_8_gogh,1024,2048,0,10
program_8_gogh,1000,900,1,10
program_8_gogh,47000,30000,20,800
program_8_gogh,200000,120000,8,160
program_8_gogh,2300,700,1,20
program_8_gogh,400,350,0,4
program_8_gogh,4000,300,0,300
program_8_gogh,2000,800,0,20
program_8_gogh,5200,260,8,55
program_8_gogh,1500000,200000,5000,80000
program_8_gogh,0,0,0,0
program_8_gogh,2000,12000,5,50
program_8_gogh,1400,300,0,50
program_8_gogh,250,70,0,45
program_8_gogh,2000,1000,50,500
program_8_gogh,5000,700,3,50
program_8_gogh,4500,250,1,15
program_8_gogh,5000,800,2,20
program_8_gogh,6000,150,0,20
program_8_gogh,12000,8000,20,400
program_8_gogh,2500,1200,5,80
program_8_gogh,0,0,0,0
program_8_gogh,8701021,2195,512,860
program_8_gogh,480,110,0,0
program_8_gogh,530,480,0,4
program_8_gogh,100,200,2,10
program_8_gogh,1200,400,5,25
program_8_gogh,2195,860,0,512
program_8_gogh,53000,72000,20,150
program_8_gogh,50000,10000,100,1000
program_8_gogh,2000,2000,20,100
program_8_gogh,50,20,0,2
program_8_gogh,500,200,1,10
program_8_gogh,12000,2400,15,110
program_8_gogh,2560,1200,0,3
program_8_gogh,500,1200,30,60
program_8_gogh,500000,400000,100,1600
program_8_gogh,2000,300,0,30
program_8_gogh,1500,250,0,2
program_8_gogh,2000,3000,0,2
program_8_gogh,8000,2500,10,500
program_8_gogh,1500,1900,2,44
program_8_gogh,100000,48000,20,48000
program_8_gogh,30000,15000,3,80
program_8_gogh,1200,800,0,2
program_8_gogh,650,120,1,3
program_8_gogh,50,100,0,1
program_8_gogh,5200,11000,75,350
program_8_gogh,600,400,1,10
program_8_gogh,3500,456,12,210
program_8_gogh,512,256,1,16
program_8_gogh,2142,4280,1,48
program_8_gogh,300,250,0,0
program_8_gogh,350,70,0,8
program_8_gogh,20000,5000,10,300
program_8_gogh,512,240,0,12
program_8_gogh,4000,1400,2,30
program_8_gogh,12000,10000,5,50
program_8_gogh,700,800,20,200
program_8_gogh,2000,4000,40,200
program_10_gogh,4000,300,10,500
program_10_gogh,2000,4000,0,1
program_10_gogh,5000,200,1,10
program_10_gogh,200,150,0,5
program_10_gogh,2000000,1500000,200,5000
program_10_gogh,8000,1800,1,30
program_10_gogh,50000,100000,50,2000
program_10_gogh,250,200,0,5
program_10_gogh,7000,300,1,50
program_10_gogh,4500,2300,12,350
program_10_gogh,1200,220,6,25
program_10_gogh,200,200,0,4
program_10_gogh,2000,4000,15,200
program_10_gogh,6000,300,0,50
program_10_gogh,500,200,1,30
program_10_gogh,250,450,3,30
program_10_gogh,150,140,2,16
program_10_gogh,5000,20000,10,500
program_10_gogh,4000,1100,10,220
program_10_gogh,150000,45000,35,400
program_10_gogh,2600,600,3,42
program_10_gogh,30000,800,10,100
program_10_gogh,1200,250,1,70
program_10_gogh,2150,400,0,22
program_10_gogh,500,200,5,50
program_10_gogh,5000,300,5,20
program_10_gogh,9500,3400,8,500
program_10_gogh,2000,400,2,10
program_10_gogh,25000,6000,0,12
program_10_gogh,120,110,1,5
program_10_gogh,2000,200,5,50
program_10_gogh,500000,70000,100,2000
program_10_gogh,400,500,7,15
program_10_gogh,4000,400,0,0
program_10_gogh,3200,1600,2,120
program_10_gogh,200,50,0,2
program_10_gogh,120,250,0,2
program_10_gogh,8000,5300,10,200
program_10_gogh,2356,310,4,150
program_10_gogh,1000000,600000,5000,80000
program_10_gogh,15000,28000,3,12
program_10_gogh,200,300,0,2
program_10_gogh,6000,6000,20,200
program_10_gogh,4500,600,1,5
program_10_gogh,2000,400,2,20
program_10_gogh,800,400,50,200
program_10_gogh,2500,200,1,20
program_10_gogh,5000,800,5,40
program_10_gogh,156,32,1,7
program_10_gogh,5000,3000,200,1000
program_10_gogh,700,400,25,300
program_10_gogh,400,650,0,0
program_10_gogh,200,200,5,20
program_10_gogh,19045,20032,0,65
program_10_gogh,2000,650,5,50
program_10_gogh,20000,3000,0,3
program_10_gogh,500,200,0,20
program_10_gogh,80000,1200,0,5
program_10_gogh,1024,800,5,50
program_10_gogh,20000,500,2,50
program_10_gogh,15000,3000,0,400
program_10_gogh,500,200,0,4
program_10_gogh,120,80,0,0
program_10_gogh,5000,2000,20,50
program_10_gogh,2000,2000,2,50
program_10_gogh,250,140,0,90
program_10_gogh,1500,450,4,80
program_10_gogh,450,180,3,12
program_10_gogh,200000,50000,200,2000
program_10_gogh,1230,850,2,40
program_10_gogh,1000,200,2,50
program_10_gogh,300,150,5,20
program_10_gogh,1000,500,5,200
program_10_gogh,3000,2000,0,10
program_10_gogh,3000,600,0,4
program_10_gogh,2200,1400,3,70
program_10_gogh,5000,3000,50,500
program_10_gogh,3700,6,5,1
program_10_gogh,150,150,0,0
program_10_gogh,2100,350,2,15
program_10_gogh,1200000,200000,5,1200
program_10_gogh,4500,200,1,25
program_10_gogh,120,45,0,5
program_10_gogh,25000,12000,20,800
program_10_gogh,340,310,4,45
program_10_gogh,2000,120,0,10
program_10_gogh,5000,2000,10,200
program_10_gogh,100,60,0,0
program_10_gogh,200000,25000,200,2500
program_10_gogh,180000,120000,10,200
program_10_gogh,1000,3000,0,0
program_10_gogh,5000,3000,10,200
program_10_gogh,200000,1500,50,500
program_10_gogh,4300,1200,2,15
program_10_gogh,200,70,0,15
program_10_gogh,1500,400,5,20
program_10_gogh,1520,1020,60,420
program_10_gogh,43807,22153,79,2126
program_10_gogh,2195,860,0,512
program_10_gogh,2045,630,0,30
program_10_gogh,350,100,1,30
program_2_opencl,5000,2000,50,800
program_2_opencl,1400,1100,1,15
program_2_opencl,500,100,2,10
program_2_opencl,2000,300,0,10
program_2_opencl,2100,250,0,15
program_2_opencl,4000,1800,5,20
program_2_opencl,20000,2000,5,100
program_2_opencl,400,70,1,3
program_2_opencl,45000,2000,4,20
program_2_opencl,16000,200,3,40
program_2_opencl,500,300,2,20
program_2_opencl,80000,120000,20,400
program_2_opencl,2000,50,5,20
program_2_opencl,200,350,3,15
program_2_opencl,16000,3000,20,2500
program_2_opencl,50000,4000,20,400
program_2_opencl,1200,400,5,80
program_2_opencl,5000,700,10,200
program_2_opencl,500,200,1,10
program_2_opencl,1000,1500,5,50
program_2_opencl,12500,2500,10,150
program_2_opencl,3500,1500,15,200
program_2_opencl,100,100,0,0
program_2_opencl,50000,15000,200,8000
program_2_opencl,2000,800,1,20
program_2_opencl,1500,800,1,15
program_2_opencl,2000000,54000,140,2700
program_2_opencl,300,150,1,10
program_2_opencl,200000,50000,10,400
program_2_opencl,2500,300,2,20
program_2_opencl,5000,2000,5,50
program_2_opencl,2000,1700,2,20
program_2_opencl,25000,2200,14,140
program_2_opencl,2000,1500,5,200
program_2_opencl,4800,1400,2,30
program_2_opencl,3000,800,0,0
program_2_opencl,1200,650,4,30
program_2_opencl,24000,3100,6,500
program_2_opencl,2000,800,0,0
program_2_opencl,2000,1500,3,30
program_2_opencl,20,12,0,3
program_2_opencl,2000,1800,1,5
program_2_opencl,50000,2000,10,500
program_2_opencl,300,150,0,2
program_2_opencl,2000,1200,2,8
program_2_opencl,12000,6000,3,20
program_2_opencl,0,0,0,0
