Characteristic
25% power efficiency
25% error rate
25% bandwidth utilization
26% cache misses
26% latency
26% throughput
26% power efficiency
26% error rate
26% bandwidth utilization
27% cache misses
27% latency
27% throughput
27% power efficiency
27% error rate
27% bandwidth utilization
28% cache misses
28% latency
28% throughput
28% power efficiency
28% error rate
28% bandwidth utilization
29% cache misses
29% latency
29% throughput
29% power efficiency
29% error rate
29% bandwidth utilization
30% cache misses
30% latency
30% throughput
30% power efficiency
30% error rate
30% bandwidth utilization
31% cache misses
31% latency
31% throughput
31% power efficiency
31% error rate
31% bandwidth utilization
32% cache misses
32% latency
32% throughput
32% power efficiency
32% error rate
32% bandwidth utilization
33% cache misses
33% latency
33% throughput
33% power efficiency
33% error rate
33% bandwidth utilization
34% cache misses
34% latency
34% throughput
34% power efficiency
34% error rate
34% bandwidth utilization
35% cache misses
35% latency
35% throughput
35% power efficiency
35% error rate
35% bandwidth utilization
36% cache misses
36% latency
36% throughput
36% power efficiency
36% error rate
36% bandwidth utilization
37% cache misses
37% latency
37% throughput
37% power efficiency
37% error rate
37% bandwidth utilization
38% cache misses
38% latency
38% throughput
38% power efficiency
38% error rate
38% bandwidth utilization
39% cache misses
39% latency
39% throughput
39% power efficiency
39% error rate
39% bandwidth utilization
40% cache misses
40% latency
40% throughput
40% power efficiency
40% error rate
40% bandwidth utilization
41% cache misses
41% latency
41% throughput
41% power efficiency
41% error rate
41% bandwidth utilization
42% cache misses
42% latency
42% throughput
42% power efficiency
42% error rate
42% bandwidth utilization
43% cache misses
43% latency
43% throughput
43% power efficiency
43% error rate
43% bandwidth utilization
44% cache misses
44% latency
44% throughput
44% power efficiency
44% error rate
44% bandwidth utilization
45% cache misses
45% latency
45% throughput
45% power efficiency
45% error rate
45% bandwidth utilization
46% cache misses
46% latency
46% throughput
46% power efficiency
46% error rate
46% bandwidth utilization
47% cache misses
47% latency
47% throughput
47% power efficiency
47% error rate
47% bandwidth utilization
48% cache misses
48% latency
48% throughput
48% power efficiency
48% error rate
48% bandwidth utilization
49% cache misses
49% latency
49% throughput
49% power efficiency
49% error rate
49% bandwidth utilization
50% cache misses
50% latency
50% throughput
50% power efficiency
50% error rate
50% bandwidth utilization
51% cache misses
51% latency
51% throughput
51% power efficiency
51% error rate
51% bandwidth utilization
52% cache misses
52% latency
52% throughput
52% power efficiency
52% error rate
52% bandwidth utilization
53% cache misses
53% latency
53% throughput
53% power efficiency
53% error rate
53% bandwidth utilization
54% cache misses
54% latency
54% throughput
54% power efficiency
54% error rate
54% bandwidth utilization
55% cache misses
55% latency
55% throughput
55% power efficiency
55% error rate
55% bandwidth utilization
56% cache misses
56% latency
56% throughput
56% power efficiency
56% error rate
56% bandwidth utilization
57% cache misses
57% latency
57% throughput
57% power efficiency
57% error rate
57% bandwidth utilization
58% cache misses
58% latency
58% throughput
58% power efficiency
58% error rate
58% bandwidth utilization
59% cache misses
59% latency
59% throughput
59% power efficiency
59% error rate
59% bandwidth utilization
60% cache misses
60% latency
60% throughput
60% power efficiency
60% error rate
60% bandwidth utilization
61% cache misses
61% latency
61% throughput
61% power efficiency
61% error rate
61% bandwidth utilization
62% cache misses
62% latency
62% throughput
62% power efficiency
62% error rate
62% bandwidth utilization
63% cache misses
63% latency
63% throughput
63% power efficiency
63% error rate
63% bandwidth utilization
64% cache misses
64% latency
64% throughput
64% power efficiency
64% error rate
64% bandwidth utilization
65% cache misses
65% latency
65% throughput
65% power efficiency
65% error rate
65% bandwidth utilization
66% cache misses
66% latency
66% throughput
66% power efficiency
66% error rate
66% bandwidth utilization
67% cache misses
67% latency
67% throughput
67% power efficiency
67% error rate
67% bandwidth utilization
68% cache misses
68% latency
68% throughput
68% power efficiency
68% error rate
68% bandwidth utilization
69% cache misses
69% latency
69% throughput
69% power efficiency
69% error rate
69% bandwidth utilization
70% cache misses
70% latency
70% throughput
70% power efficiency
70% error rate
70% bandwidth utilization
71% cache misses
71% latency
71% throughput
71% power efficiency
71% error rate
71% bandwidth utilization
72% cache misses
72% latency
72% throughput
72% power efficiency
72% error rate
72% bandwidth utilization
73% cache misses
73% latency
73% throughput
73% power efficiency
73% error rate
73% bandwidth utilization
74% cache misses
74% latency
74% throughput
74% power efficiency
74% error rate
74% bandwidth utilization
75% cache misses
75% latency
75% throughput
75% power efficiency
75% error rate
75% bandwidth utilization
76% cache misses
76% latency
76% throughput
76% power efficiency
76% error rate
76% bandwidth utilization
77% cache misses
77% latency
77% throughput
77% power efficiency
77% error rate
77% bandwidth utilization
78% cache misses
78% latency
78% throughput
78% power efficiency
78% error rate
78% bandwidth utilization
79% cache misses
79% latency
79% throughput
79% power efficiency
79% error rate
79% bandwidth utilization
80% cache misses
80% latency
80% throughput
80% power efficiency
80% error rate
80% bandwidth utilization
81% cache misses
81% latency
81% throughput
81% power efficiency
81% error rate
81% bandwidth utilization
82% cache misses
82% latency
82% throughput
82% power efficiency
82% error rate
82% bandwidth utilization
83% cache misses
83% latency
83% throughput
83% power efficiency
83% error rate
83% bandwidth utilization
84% cache misses
84% latency
84% throughput
84% power efficiency
84% error rate
84% bandwidth utilization
85% cache misses
85% latency
85% throughput
85% power efficiency
85% error rate
85% bandwidth utilization
86% cache misses
86% latency
86% throughput
86% power efficiency
86% error rate
86% bandwidth utilization
87% cache misses
87% latency
87% throughput
87% power efficiency
87% error rate
87% bandwidth utilization
88% cache misses
88% latency
88% throughput
88% power efficiency
88% error rate
88% bandwidth utilization
89% cache misses
89% latency
89% throughput
89% power efficiency
89% error rate
89% bandwidth utilization
90% cache misses
90% latency
90% throughput
90% power efficiency
90% error rate
90% bandwidth utilization
91% cache misses
91% latency
91% throughput
91% power efficiency
91% error rate
91% bandwidth utilization
92% cache misses
92% latency
92% throughput
92% power efficiency
92% error rate
92% bandwidth utilization
93% cache misses
93% latency
93% throughput
93% power efficiency
93% error rate
93% bandwidth utilization
94% cache misses
94% latency
94% throughput
94% power efficiency
94% error rate
94% bandwidth utilization
95% cache misses
95% latency
95% throughput
95% power efficiency
95% error rate
95% bandwidth utilization
96% cache misses
96% latency
96% throughput
96% power efficiency
96% error rate
96% bandwidth utilization
97% cache misses
97% latency
97% throughput
97% power efficiency
97% error rate
97% bandwidth utilization
98% cache misses
98% latency
98% throughput
98% power efficiency
98% error rate
98% bandwidth utilization
99% cache misses
99% latency
99% throughput
99% power efficiency
99% error rate
99% bandwidth utilization
100% cache misses
100% latency
100% throughput
100% power efficiency
100% error rate
100% bandwidth utilization
